number,title,image,year,location
718,Portrait of Trabuc; Chief Orderly at Saint-Paul Hospital,Vincent_Willem_van_Gogh_093.jpg,1889,"Kunstmuseum Solothurn, Solothrun, Switzerland (F629)"
719,The Pietà (after Delacroix),Vincent_Willem_van_Gogh_083.jpg,1889,"Van Gogh Museum, Amsterdam, Netherlands (F630)"
720,Portrait of Madame Trabuc (b/w copy),Van_Gogh_-_Bildnis_Madame_Trabuc.jpeg,1889,"Hermitage, St. Petersburg, Russia (F631)"
721,The Sheep-Shearers (after Millet),WLANL_-_Minke_Wagenaar_-_Vincent_van_Gogh_1889_The_sheep_shearer_(after_Millet)-2-2.jpg,1889,"Van Gogh Museum, Amsterdam, Netherlands (F634)"
722,Entrance to a Quarry near Saint-Remy,Van_Gogh_-_Eingang_zu_einem_Steinbruch1.jpeg,1889,Private Collection (F635)
723,Mulberry Tree (Van Gogh),Van_Gogh_-_Maulbeerbaum.jpeg,1889,"Norton Simon Museum, Pasadena, California (F637)"
724,Two Poplars on a Road Through the Hills,Van_Gogh_-_Zwei_Pappeln_an_einem_Weg_durch_die_Hügel.jpeg,1889,"Cleveland Museum of Art, Cleveland, Ohio (F638)"
725,The Garden of Saint-Paul Hospital,Van_Gogh_-_Garten_des_Hospitals_Saint-Paul1.jpeg,"October, 1889",Private Collection (F640)
726,Landscape at Saint-Rémy (Enclosed Field with Peasant),WLA_ima_Landscape_at_St_Remy.jpg,1889,"Indianapolis Museum of Art, Indianapolis, Indiana (F641)"
727,The Courtyard of the Hospital at Arles,Van_Gogh_-_Bäume_im_Garten_des_Hospitals_Saint-Paul1.jpeg,1889,Private Collection (F642) 
728,Trees in the Garden in Front of the Entrance to Saint-Paul Hospital,Van_Gogh_-_Bäume_im_Garten_des_Hospitals_Saint-Paul.jpeg,1889,"Hammer Museum, Los Angeles, California (F643)"
729,The Man is at Sea (after Demont-Breton),Van_Gogh_-_Der_Mann_ist_auf_See_(nach_Demont-Breton).jpeg,1889,Private collection (F644)
730,The Ravine (Les Peiroulets),Van_Gogh_-_Die_Schlucht_-Les_Peiroulets-.jpg,1889,"Van Gogh Museum, Amsterdam, Netherlands (F645)"
