index,rank,word
138939,8,may
139392,8,may
139471,8,may
139697,8,may
139986,8,may
140321,8,may
141760,8,may
141799,8,may
142495,8,may
144224,8,may
144820,8,may
146093,8,may
149567,8,may
152264,8,may
154663,8,may
156004,8,may
156011,8,may
158228,8,may
158368,8,may
159363,8,may
160969,8,may
164977,8,may
165570,8,may
172155,8,may
179113,8,may
179226,8,may
182945,8,may
183013,8,may
184401,8,may
184749,8,may
185598,8,may
185891,8,may
3214,9,modern
4334,9,modern
4469,9,modern
4677,9,modern
4797,9,modern
4895,9,modern
5226,9,modern
5377,9,modern
9465,9,modern
10096,9,modern
16920,9,modern
17038,9,modern
20755,9,modern
21671,9,modern
26669,9,modern
27253,9,modern
31607,9,modern
31945,9,modern
32339,9,modern
32414,9,modern
32887,9,modern
33119,9,modern
33725,9,modern
34525,9,modern
34618,9,modern
35383,9,modern
35630,9,modern
36276,9,modern
37008,9,modern
38102,9,modern
38344,9,modern
38794,9,modern
39397,9,modern
39541,9,modern
39741,9,modern
40470,9,modern
40796,9,modern
41498,9,modern
42656,9,modern
43002,9,modern
43039,9,modern
46556,9,modern
46618,9,modern
47162,9,modern
47768,9,modern
48158,9,modern
48298,9,modern
48630,9,modern
48765,9,modern
48829,9,modern
49275,9,modern
51163,9,modern
51493,9,modern
52174,9,modern
52703,9,modern
53260,9,modern
54221,9,modern
60153,9,modern
67707,9,modern
80784,9,modern
81044,9,modern
85152,9,modern
89193,9,modern
89370,9,modern
96393,9,modern
110833,9,modern
111515,9,modern
112009,9,modern
112817,9,modern
113160,9,modern
120700,9,modern
120833,9,modern
159698,9,modern
160220,9,modern
160359,9,modern
160490,9,modern
162130,9,modern
163283,9,modern
163402,9,modern
165798,9,modern
168266,9,modern
169371,9,modern
171071,9,modern
186507,9,modern
186994,9,modern
187300,9,modern
187412,9,modern
710,10,social
1214,10,social
3360,10,social
3527,10,social
4735,10,social
4834,10,social
8449,10,social
12589,10,social
13723,10,social
14102,10,social
14237,10,social
14418,10,social
14852,10,social
15164,10,social
15214,10,social
15359,10,social
15654,10,social
15748,10,social
16044,10,social
16174,10,social
16336,10,social
16391,10,social
16500,10,social
16636,10,social
16761,10,social
16939,10,social
16969,10,social
17074,10,social
17221,10,social
17320,10,social
18365,10,social
18615,10,social
18977,10,social
19676,10,social
20418,10,social
20579,10,social
20691,10,social
21041,10,social
21979,10,social
27567,10,social
28024,10,social
29341,10,social
32377,10,social
33014,10,social
33234,10,social
35286,10,social
35335,10,social
36727,10,social
37408,10,social
39360,10,social
41672,10,social
42541,10,social
47404,10,social
51963,10,social
54958,10,social
59377,10,social
60828,10,social
69712,10,social
69845,10,social
71239,10,social
71785,10,social
71884,10,social
71954,10,social
72010,10,social
72084,10,social
73018,10,social
75123,10,social
75323,10,social
85668,10,social
88328,10,social
92903,10,social
93660,10,social
97423,10,social
98658,10,social
101119,10,social
101270,10,social
101493,10,social
101735,10,social
102058,10,social
102439,10,social
102801,10,social
104272,10,social
105290,10,social
105721,10,social
105884,10,social
107061,10,social
107135,10,social
107966,10,social
109724,10,social
111689,10,social
117076,10,social
117811,10,social
119308,10,social
126105,10,social
127723,10,social
130904,10,social
133856,10,social
135065,10,social
135520,10,social
143974,10,social
144915,10,social
145857,10,social
148505,10,social
148947,10,social
150361,10,social
153226,10,social
154317,10,social
155335,10,social
162407,10,social
162465,10,social
162961,10,social
163077,10,social
163999,10,social
164078,10,social
164337,10,social
164541,10,social
166729,10,social
166888,10,social
169117,10,social
175604,10,social
176089,10,social
177552,10,social
177712,10,social
177999,10,social
178040,10,social
178289,10,social
179595,10,social
183465,10,social
183848,10,social
183865,10,social
183883,10,social
184420,10,social
184639,10,social
185275,10,social
185365,10,social
185421,10,social
186660,10,social
1142,11,many
6954,11,many
10891,11,many
12305,11,many
14396,11,many
16416,11,many
16627,11,many
21334,11,many
24618,11,many
24855,11,many
27800,11,many
28322,11,many
28578,11,many
37491,11,many
41942,11,many
42391,11,many
42641,11,many
44399,11,many
44704,11,many
47215,11,many
48695,11,many
48871,11,many
49250,11,many
49379,11,many
57321,11,many
58421,11,many
59170,11,many
59446,11,many
60138,11,many
60994,11,many
63849,11,many
64807,11,many
65396,11,many
66035,11,many
67399,11,many
69039,11,many
69182,11,many
71716,11,many
71859,11,many
85879,11,many
86307,11,many
90371,11,many
92366,11,many
95921,11,many
96504,11,many
98303,11,many
108419,11,many
112200,11,many
113742,11,many
114823,11,many
118400,11,many
119728,11,many
120460,11,many
120875,11,many
122274,11,many
126411,11,many
130645,11,many
131907,11,many
133104,11,many
